,Date,Time,Signal(dBm),Noise(dBm),Channel,Mode,SSID,BSSID,Frequency (GHz)
9649,5/10/2023 12:36:33,1696509393,-83,-95,157, ac,[Hidden SSID] ,08-CC-68-B4-84-1F,
10217,5/10/2023 12:36:33,1696509393,-89,-92,6, g/n,[Hidden SSID] ,08-CC-68-B4-7D-64,
10572,5/10/2023 12:36:33,1696509393,-52,-91,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-40,
11353,5/10/2023 12:36:33,1696509393,-82,-93,11, g/n,Global_Students ,24-16-9D-23-F0-C4,
11472,5/10/2023 12:36:33,1696509393,-82,-93,11, g/n,eduroam ,24-16-9D-23-F0-C0,
11568,5/10/2023 12:36:33,1696509393,-81,-94,132, ac,[Hidden SSID] ,B8-11-4B-82-62-AA,
11692,5/10/2023 12:36:33,1696509393,-82,-93,11, g/n,uniwide ,24-16-9D-23-F0-C1,
11771,5/10/2023 12:36:33,1696509393,-78,-86,6, g/n,[Hidden SSID] ,74-88-BB-2B-01-25,
12375,5/10/2023 12:36:33,1696509393,-52,-93,11, g/n,eduroam ,08-CC-68-B5-9A-41,
12910,5/10/2023 12:36:33,1696509393,-85,-95,6, g/n,uniwide ,08-CC-68-B4-7D-65,
13270,5/10/2023 12:36:33,1696509393,-80,-94,112, ac,uniwide ,08-CC-68-B4-86-5A,
13350,5/10/2023 12:36:33,1696509393,-86,-94,6, g/n,[Hidden SSID] ,4C-E1-76-F3-53-65,
13678,5/10/2023 12:36:33,1696509393,-77,-94,100, ac,uniwide ,08-CC-68-B4-8C-FA,
14004,5/10/2023 12:36:33,1696509393,-58,-94,132, ac,[Hidden SSID] ,08-CC-68-B5-9A-4F,
14345,5/10/2023 12:36:33,1696509393,-80,-86,1, g/n,eduroam ,08-CC-68-B4-8C-F1,
14585,5/10/2023 12:36:33,1696509393,-81,-93,1, g/n,eduroam ,08-CC-68-B4-86-51,
14654,5/10/2023 12:36:33,1696509393,-72,-93,1, g/n,[Hidden SSID] ,08-CC-68-B5-88-A4,
14766,5/10/2023 12:36:33,1696509393,-56,-95,52, ac,uniwide ,08-CC-68-B4-77-AA,
15062,5/10/2023 12:36:33,1696509393,-78,-86,6, g/n,[Hidden SSID] ,74-88-BB-2B-01-22,
15180,5/10/2023 12:36:33,1696509393,-67,-93,11, g/n,uniwide ,08-CC-68-B4-84-95,
15337,5/10/2023 12:36:33,1696509393,-76,-94,100, ac,[Hidden SSID] ,08-CC-68-B4-8C-FF,
15665,5/10/2023 12:36:33,1696509393,-58,-94,132, ac,uniwide ,08-CC-68-B5-9A-4A,
15891,5/10/2023 12:36:33,1696509393,-68,-95,6, g/n,eduroam ,B8-11-4B-82-62-A0,
15966,5/10/2023 12:36:33,1696509393,-86,-93,6, g/n,[Hidden SSID] ,4C-E1-76-F3-53-62,
16017,5/10/2023 12:36:33,1696509393,-92,-94,132, ac,[Hidden SSID] ,08-CC-68-B4-84-9B,
16170,5/10/2023 12:36:33,1696509393,-64,-86,6, g/n,Global_Students ,B8-11-4B-82-62-A4,
16228,5/10/2023 12:36:33,1696509393,-86,-92,6, g/n,[Hidden SSID] ,08-CC-68-B4-7E-E0,
16391,5/10/2023 12:36:33,1696509393,-81,-94,112, ac,[Hidden SSID] ,08-CC-68-B4-86-5F,
16680,5/10/2023 12:36:33,1696509393,-88,-86,6, g/n,eduroam ,08-CC-68-B4-7E-E1,
16858,5/10/2023 12:36:33,1696509393,-64,-86,6, g/n,uniwide ,B8-11-4B-82-62-A1,
17428,5/10/2023 12:36:33,1696509393,-78,-86,6, g/n,UNSW Guest ,74-88-BB-2B-01-23,
17624,5/10/2023 12:36:33,1696509393,-69,-86,1, g/n,uniwide ,08-CC-68-B5-88-A5,
17915,5/10/2023 12:36:33,1696509393,-80,-94,132, ac,Global_Students ,B8-11-4B-82-62-AB,
18038,5/10/2023 12:36:33,1696509393,-64,-94,11, g/n,[Hidden SSID] ,08-CC-68-B4-84-94,
18136,5/10/2023 12:36:33,1696509393,-80,-94,132, ac,eduroam ,B8-11-4B-82-62-AF,
18394,5/10/2023 12:36:33,1696509393,-85,-94,6, g/n,UNSW Guest ,4C-E1-76-F3-53-63,
18604,5/10/2023 12:36:33,1696509393,-89,-86,6, g/n,eduroam ,08-CC-68-B5-8D-F1,
18668,5/10/2023 12:36:33,1696509393,-77,-92,1, g/n,[Hidden SSID] ,08-CC-68-B4-8C-F0,
419,5/10/2023 12:36:43,1696509403,-79,-86,6, g/n,Global_Students ,74-88-BB-2B-01-24,
497,5/10/2023 12:36:43,1696509403,-81,-94,132, ac,uniwide ,B8-11-4B-82-62-AE,
618,5/10/2023 12:36:43,1696509403,-78,-93,6, g/n,eduroam ,74-88-BB-2B-01-20,
1091,5/10/2023 12:36:43,1696509403,-51,-92,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-44,
1181,5/10/2023 12:36:43,1696509403,-64,-86,6, g/n,[Hidden SSID] ,B8-11-4B-82-62-A2,
1666,5/10/2023 12:36:43,1696509403,-86,-94,6, g/n,[Hidden SSID] ,08-CC-68-B4-7D-60,
2275,5/10/2023 12:36:43,1696509403,-81,-95,157, ac,[Hidden SSID] ,08-CC-68-B4-84-1B,
2458,5/10/2023 12:36:43,1696509403,-58,-94,132, ac,[Hidden SSID] ,08-CC-68-B5-9A-4B,
2736,5/10/2023 12:36:43,1696509403,-77,-94,100, ac,eduroam ,08-CC-68-B4-8C-FE,
2979,5/10/2023 12:36:43,1696509403,-83,-94,112, ac,eduroam ,08-CC-68-B4-86-5E,
3618,5/10/2023 12:36:43,1696509403,-92,-94,132, ac,uniwide ,08-CC-68-B4-84-9A,
3829,5/10/2023 12:36:43,1696509403,-86,-86,6, ac,gj 的 S23 ,1A-62-02-07-FE-2F,
3874,5/10/2023 12:36:43,1696509403,-64,-86,6, g/n,UNSW Guest ,B8-11-4B-82-62-A3,
4057,5/10/2023 12:36:43,1696509403,-51,-92,11, g/n,uniwide ,08-CC-68-B5-9A-45,
4223,5/10/2023 12:36:43,1696509403,-78,-86,6, g/n,uniwide ,74-88-BB-2B-01-21,
4314,5/10/2023 12:36:43,1696509403,-82,-92,11, g/n,[Hidden SSID] ,24-16-9D-23-F0-C5,
4700,5/10/2023 12:36:43,1696509403,-81,-94,132, ac,[Hidden SSID] ,B8-11-4B-82-62-AD,
4821,5/10/2023 12:36:43,1696509403,-82,-94,112, ac,[Hidden SSID] ,08-CC-68-B4-86-5B,
5258,5/10/2023 12:36:43,1696509403,-93,-94,132, ac,[Hidden SSID] ,08-CC-68-B4-84-9F,
5460,5/10/2023 12:36:43,1696509403,-57,-94,132, ac,eduroam ,08-CC-68-B5-9A-4E,
5663,5/10/2023 12:36:43,1696509403,-81,-94,132, ac,UNSW Guest ,B8-11-4B-82-62-AC,
5827,5/10/2023 12:36:43,1696509403,-76,-94,100, ac,[Hidden SSID] ,08-CC-68-B4-8C-FB,
6105,5/10/2023 12:36:43,1696509403,-66,-92,11, g/n,eduroam ,08-CC-68-B4-84-91,
6319,5/10/2023 12:36:43,1696509403,-57,-95,52, ac,eduroam ,08-CC-68-B4-77-AE,
6526,5/10/2023 12:36:43,1696509403,-69,-92,1, g/n,[Hidden SSID] ,08-CC-68-B5-88-A0,
6606,5/10/2023 12:36:43,1696509403,-82,-92,11, g/n,[Hidden SSID] ,24-16-9D-23-F0-C2,
6679,5/10/2023 12:36:43,1696509403,-83,-86,1, g/n,uniwide ,08-CC-68-B4-86-55,
6897,5/10/2023 12:36:43,1696509403,-91,-92,6, g/n,[Hidden SSID] ,08-CC-68-B5-8D-F4,
7037,5/10/2023 12:36:43,1696509403,-80,-86,1, g/n,uniwide ,08-CC-68-B4-8C-F5,
7447,5/10/2023 12:36:43,1696509403,-81,-86,1, g/n,[Hidden SSID] ,08-CC-68-B4-8C-F4,
7966,5/10/2023 12:36:43,1696509403,-66,-92,11, g/n,[Hidden SSID] ,08-CC-68-B4-84-90,
8332,5/10/2023 12:36:43,1696509403,-69,-92,1, g/n,eduroam ,08-CC-68-B5-88-A1,
8425,5/10/2023 12:36:43,1696509403,-84,-92,1, g/n,[Hidden SSID] ,08-CC-68-B4-86-54,
8858,5/10/2023 12:36:43,1696509403,-82,-92,11, g/n,UNSW Guest ,24-16-9D-23-F0-C3,
9469,5/10/2023 12:36:43,1696509403,-64,-86,6, g/n,[Hidden SSID] ,B8-11-4B-82-62-A5,
9648,5/10/2023 12:36:43,1696509403,-83,-95,157, ac,[Hidden SSID] ,08-CC-68-B4-84-1F,
10216,5/10/2023 12:36:43,1696509403,-89,-92,6, g/n,[Hidden SSID] ,08-CC-68-B4-7D-64,
10571,5/10/2023 12:36:43,1696509403,-51,-92,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-40,
11352,5/10/2023 12:36:43,1696509403,-82,-92,11, g/n,Global_Students ,24-16-9D-23-F0-C4,
11471,5/10/2023 12:36:43,1696509403,-81,-92,11, g/n,eduroam ,24-16-9D-23-F0-C0,
11691,5/10/2023 12:36:43,1696509403,-82,-92,11, g/n,uniwide ,24-16-9D-23-F0-C1,
11770,5/10/2023 12:36:43,1696509403,-78,-86,6, g/n,[Hidden SSID] ,74-88-BB-2B-01-25,
12374,5/10/2023 12:36:43,1696509403,-51,-92,11, g/n,eduroam ,08-CC-68-B5-9A-41,
12909,5/10/2023 12:36:43,1696509403,-85,-95,6, g/n,uniwide ,08-CC-68-B4-7D-65,
13269,5/10/2023 12:36:43,1696509403,-83,-94,112, ac,uniwide ,08-CC-68-B4-86-5A,
13349,5/10/2023 12:36:43,1696509403,-88,-93,6, g/n,[Hidden SSID] ,4C-E1-76-F3-53-65,
13677,5/10/2023 12:36:43,1696509403,-78,-94,100, ac,uniwide ,08-CC-68-B4-8C-FA,
14003,5/10/2023 12:36:43,1696509403,-58,-94,132, ac,[Hidden SSID] ,08-CC-68-B5-9A-4F,
14344,5/10/2023 12:36:43,1696509403,-81,-92,1, g/n,eduroam ,08-CC-68-B4-8C-F1,
14584,5/10/2023 12:36:43,1696509403,-81,-93,1, g/n,eduroam ,08-CC-68-B4-86-51,
14653,5/10/2023 12:36:43,1696509403,-72,-93,1, g/n,[Hidden SSID] ,08-CC-68-B5-88-A4,
14765,5/10/2023 12:36:43,1696509403,-57,-95,52, ac,uniwide ,08-CC-68-B4-77-AA,
15061,5/10/2023 12:36:43,1696509403,-78,-86,6, g/n,[Hidden SSID] ,74-88-BB-2B-01-22,
15179,5/10/2023 12:36:43,1696509403,-66,-92,11, g/n,uniwide ,08-CC-68-B4-84-95,
15336,5/10/2023 12:36:43,1696509403,-76,-94,100, ac,[Hidden SSID] ,08-CC-68-B4-8C-FF,
15664,5/10/2023 12:36:43,1696509403,-57,-94,132, ac,uniwide ,08-CC-68-B5-9A-4A,
15890,5/10/2023 12:36:43,1696509403,-68,-95,6, g/n,eduroam ,B8-11-4B-82-62-A0,
16016,5/10/2023 12:36:43,1696509403,-92,-94,132, ac,[Hidden SSID] ,08-CC-68-B4-84-9B,
16169,5/10/2023 12:36:43,1696509403,-64,-86,6, g/n,Global_Students ,B8-11-4B-82-62-A4,
16227,5/10/2023 12:36:43,1696509403,-86,-92,6, g/n,[Hidden SSID] ,08-CC-68-B4-7E-E0,
16390,5/10/2023 12:36:43,1696509403,-83,-94,112, ac,[Hidden SSID] ,08-CC-68-B4-86-5F,
16679,5/10/2023 12:36:43,1696509403,-89,-93,6, g/n,eduroam ,08-CC-68-B4-7E-E1,
16857,5/10/2023 12:36:43,1696509403,-64,-86,6, g/n,uniwide ,B8-11-4B-82-62-A1,
17080,5/10/2023 12:36:43,1696509403,-81,-95,157, ac,uniwide ,08-CC-68-B4-84-1A,
17427,5/10/2023 12:36:43,1696509403,-78,-86,6, g/n,UNSW Guest ,74-88-BB-2B-01-23,
17623,5/10/2023 12:36:43,1696509403,-69,-92,1, g/n,uniwide ,08-CC-68-B5-88-A5,
17700,5/10/2023 12:36:43,1696509403,-84,-92,1, g/n,[Hidden SSID] ,08-CC-68-B4-86-50,
17914,5/10/2023 12:36:43,1696509403,-81,-94,132, ac,Global_Students ,B8-11-4B-82-62-AB,
18037,5/10/2023 12:36:43,1696509403,-64,-94,11, g/n,[Hidden SSID] ,08-CC-68-B4-84-94,
18135,5/10/2023 12:36:43,1696509403,-81,-94,132, ac,eduroam ,B8-11-4B-82-62-AF,
18393,5/10/2023 12:36:43,1696509403,-85,-94,6, g/n,UNSW Guest ,4C-E1-76-F3-53-63,
18603,5/10/2023 12:36:43,1696509403,-89,-86,6, g/n,eduroam ,08-CC-68-B5-8D-F1,
219,5/10/2023 12:36:54,1696509414,-88,-91,1, b/g/n,ASUS_66U ,A8-5E-45-9A-D9-90,
418,5/10/2023 12:36:54,1696509414,-79,-86,6, g/n,Global_Students ,74-88-BB-2B-01-24,
496,5/10/2023 12:36:54,1696509414,-81,-94,132, ac,uniwide ,B8-11-4B-82-62-AE,
617,5/10/2023 12:36:54,1696509414,-78,-93,6, g/n,eduroam ,74-88-BB-2B-01-20,
1090,5/10/2023 12:36:54,1696509414,-51,-92,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-44,
1180,5/10/2023 12:36:54,1696509414,-64,-86,6, g/n,[Hidden SSID] ,B8-11-4B-82-62-A2,
1580,5/10/2023 12:36:54,1696509414,-89,-91,6, g/n,Global_Students ,4C-E1-76-F3-53-64,
2274,5/10/2023 12:36:54,1696509414,-81,-95,157, ac,[Hidden SSID] ,08-CC-68-B4-84-1B,
2457,5/10/2023 12:36:54,1696509414,-58,-94,132, ac,[Hidden SSID] ,08-CC-68-B5-9A-4B,
2735,5/10/2023 12:36:54,1696509414,-77,-94,100, ac,eduroam ,08-CC-68-B4-8C-FE,
2978,5/10/2023 12:36:54,1696509414,-81,-94,112, ac,eduroam ,08-CC-68-B4-86-5E,
3531,5/10/2023 12:36:54,1696509414,-89,-91,6, g/n,uniwide ,4C-E1-76-F3-53-61,
3617,5/10/2023 12:36:54,1696509414,-92,-94,132, ac,uniwide ,08-CC-68-B4-84-9A,
3828,5/10/2023 12:36:54,1696509414,-86,-86,6, ac,gj 的 S23 ,1A-62-02-07-FE-2F,
3873,5/10/2023 12:36:54,1696509414,-64,-86,6, g/n,UNSW Guest ,B8-11-4B-82-62-A3,
4056,5/10/2023 12:36:54,1696509414,-50,-94,11, g/n,uniwide ,08-CC-68-B5-9A-45,
4222,5/10/2023 12:36:54,1696509414,-78,-86,6, g/n,uniwide ,74-88-BB-2B-01-21,
4313,5/10/2023 12:36:54,1696509414,-82,-92,11, g/n,[Hidden SSID] ,24-16-9D-23-F0-C5,
4699,5/10/2023 12:36:54,1696509414,-83,-94,132, ac,[Hidden SSID] ,B8-11-4B-82-62-AD,
4820,5/10/2023 12:36:54,1696509414,-82,-94,112, ac,[Hidden SSID] ,08-CC-68-B4-86-5B,
5257,5/10/2023 12:36:54,1696509414,-93,-94,132, ac,[Hidden SSID] ,08-CC-68-B4-84-9F,
5459,5/10/2023 12:36:54,1696509414,-56,-94,132, ac,eduroam ,08-CC-68-B5-9A-4E,
5662,5/10/2023 12:36:54,1696509414,-82,-94,132, ac,UNSW Guest ,B8-11-4B-82-62-AC,
5826,5/10/2023 12:36:54,1696509414,-77,-94,100, ac,[Hidden SSID] ,08-CC-68-B4-8C-FB,
6104,5/10/2023 12:36:54,1696509414,-63,-94,11, g/n,eduroam ,08-CC-68-B4-84-91,
6318,5/10/2023 12:36:54,1696509414,-60,-95,52, ac,eduroam ,08-CC-68-B4-77-AE,
6525,5/10/2023 12:36:54,1696509414,-69,-92,1, g/n,[Hidden SSID] ,08-CC-68-B5-88-A0,
6605,5/10/2023 12:36:54,1696509414,-82,-92,11, g/n,[Hidden SSID] ,24-16-9D-23-F0-C2,
6678,5/10/2023 12:36:54,1696509414,-83,-86,1, g/n,uniwide ,08-CC-68-B4-86-55,
7036,5/10/2023 12:36:54,1696509414,-80,-86,1, g/n,uniwide ,08-CC-68-B4-8C-F5,
7446,5/10/2023 12:36:54,1696509414,-81,-86,1, g/n,[Hidden SSID] ,08-CC-68-B4-8C-F4,
7965,5/10/2023 12:36:54,1696509414,-66,-92,11, g/n,[Hidden SSID] ,08-CC-68-B4-84-90,
8331,5/10/2023 12:36:54,1696509414,-71,-91,1, g/n,eduroam ,08-CC-68-B5-88-A1,
8424,5/10/2023 12:36:54,1696509414,-82,-91,1, g/n,[Hidden SSID] ,08-CC-68-B4-86-54,
8857,5/10/2023 12:36:54,1696509414,-82,-92,11, g/n,UNSW Guest ,24-16-9D-23-F0-C3,
8944,5/10/2023 12:36:54,1696509414,-82,-95,157, ac,eduroam ,08-CC-68-B4-84-1E,
9165,5/10/2023 12:36:54,1696509414,-92,-94,112, ac,[Hidden SSID] ,08-CC-68-B5-88-AF,
9468,5/10/2023 12:36:54,1696509414,-64,-86,6, g/n,[Hidden SSID] ,B8-11-4B-82-62-A5,
10215,5/10/2023 12:36:54,1696509414,-87,-91,6, g/n,[Hidden SSID] ,08-CC-68-B4-7D-64,
10570,5/10/2023 12:36:54,1696509414,-50,-94,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-40,
11351,5/10/2023 12:36:54,1696509414,-82,-92,11, g/n,Global_Students ,24-16-9D-23-F0-C4,
11470,5/10/2023 12:36:54,1696509414,-81,-92,11, g/n,eduroam ,24-16-9D-23-F0-C0,
11690,5/10/2023 12:36:54,1696509414,-82,-92,11, g/n,uniwide ,24-16-9D-23-F0-C1,
11769,5/10/2023 12:36:54,1696509414,-78,-86,6, g/n,[Hidden SSID] ,74-88-BB-2B-01-25,
11913,5/10/2023 12:36:54,1696509414,-60,-95,52, ac,[Hidden SSID] ,08-CC-68-B4-77-AF,
12373,5/10/2023 12:36:54,1696509414,-50,-94,11, g/n,eduroam ,08-CC-68-B5-9A-41,
12840,5/10/2023 12:36:54,1696509414,-87,-94,132, ac,eduroam ,08-CC-68-B4-84-9E,
13268,5/10/2023 12:36:54,1696509414,-83,-94,112, ac,uniwide ,08-CC-68-B4-86-5A,
13348,5/10/2023 12:36:54,1696509414,-88,-91,6, g/n,[Hidden SSID] ,4C-E1-76-F3-53-65,
13676,5/10/2023 12:36:54,1696509414,-77,-94,100, ac,uniwide ,08-CC-68-B4-8C-FA,
14002,5/10/2023 12:36:54,1696509414,-58,-94,132, ac,[Hidden SSID] ,08-CC-68-B5-9A-4F,
14343,5/10/2023 12:36:54,1696509414,-77,-91,1, g/n,eduroam ,08-CC-68-B4-8C-F1,
14764,5/10/2023 12:36:54,1696509414,-60,-95,52, ac,uniwide ,08-CC-68-B4-77-AA,
15060,5/10/2023 12:36:54,1696509414,-78,-86,6, g/n,[Hidden SSID] ,74-88-BB-2B-01-22,
15178,5/10/2023 12:36:54,1696509414,-63,-94,11, g/n,uniwide ,08-CC-68-B4-84-95,
15335,5/10/2023 12:36:54,1696509414,-76,-94,100, ac,[Hidden SSID] ,08-CC-68-B4-8C-FF,
15663,5/10/2023 12:36:54,1696509414,-57,-94,132, ac,uniwide ,08-CC-68-B5-9A-4A,
15965,5/10/2023 12:36:54,1696509414,-88,-91,6, g/n,[Hidden SSID] ,4C-E1-76-F3-53-62,
16168,5/10/2023 12:36:54,1696509414,-64,-86,6, g/n,Global_Students ,B8-11-4B-82-62-A4,
16226,5/10/2023 12:36:54,1696509414,-86,-92,6, g/n,[Hidden SSID] ,08-CC-68-B4-7E-E0,
16389,5/10/2023 12:36:54,1696509414,-83,-94,112, ac,[Hidden SSID] ,08-CC-68-B4-86-5F,
16678,5/10/2023 12:36:54,1696509414,-89,-93,6, g/n,eduroam ,08-CC-68-B4-7E-E1,
16856,5/10/2023 12:36:54,1696509414,-64,-86,6, g/n,uniwide ,B8-11-4B-82-62-A1,
16886,5/10/2023 12:36:54,1696509414,-93,-94,112, ac,[Hidden SSID] ,08-CC-68-B5-88-AB,
17079,5/10/2023 12:36:54,1696509414,-81,-95,157, ac,uniwide ,08-CC-68-B4-84-1A,
17426,5/10/2023 12:36:54,1696509414,-78,-86,6, g/n,UNSW Guest ,74-88-BB-2B-01-23,
17622,5/10/2023 12:36:54,1696509414,-71,-91,1, g/n,uniwide ,08-CC-68-B5-88-A5,
17699,5/10/2023 12:36:54,1696509414,-83,-91,1, g/n,[Hidden SSID] ,08-CC-68-B4-86-50,
17913,5/10/2023 12:36:54,1696509414,-82,-94,132, ac,Global_Students ,B8-11-4B-82-62-AB,
18134,5/10/2023 12:36:54,1696509414,-81,-94,132, ac,eduroam ,B8-11-4B-82-62-AF,
18392,5/10/2023 12:36:54,1696509414,-89,-91,6, g/n,UNSW Guest ,4C-E1-76-F3-53-63,
18602,5/10/2023 12:36:54,1696509414,-89,-86,6, g/n,eduroam ,08-CC-68-B5-8D-F1,
218,5/10/2023 12:37:07,1696509427,-88,-91,1, b/g/n,ASUS_66U ,A8-5E-45-9A-D9-90,
495,5/10/2023 12:37:07,1696509427,-81,-94,132, ac,uniwide ,B8-11-4B-82-62-AE,
616,5/10/2023 12:37:07,1696509427,-78,-93,6, g/n,eduroam ,74-88-BB-2B-01-20,
1089,5/10/2023 12:37:07,1696509427,-50,-94,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-44,
1221,5/10/2023 12:37:07,1696509427,-93,-94,112, ac,uniwide ,08-CC-68-B5-88-AA,
1579,5/10/2023 12:37:07,1696509427,-89,-91,6, g/n,Global_Students ,4C-E1-76-F3-53-64,
2456,5/10/2023 12:37:07,1696509427,-56,-94,132, ac,[Hidden SSID] ,08-CC-68-B5-9A-4B,
2734,5/10/2023 12:37:07,1696509427,-78,-94,100, ac,eduroam ,08-CC-68-B4-8C-FE,
2977,5/10/2023 12:37:07,1696509427,-81,-94,112, ac,eduroam ,08-CC-68-B4-86-5E,
3530,5/10/2023 12:37:07,1696509427,-89,-91,6, g/n,uniwide ,4C-E1-76-F3-53-61,
3616,5/10/2023 12:37:07,1696509427,-92,-94,132, ac,uniwide ,08-CC-68-B4-84-9A,
4055,5/10/2023 12:37:07,1696509427,-50,-94,11, g/n,uniwide ,08-CC-68-B5-9A-45,
4312,5/10/2023 12:37:07,1696509427,-82,-92,11, g/n,[Hidden SSID] ,24-16-9D-23-F0-C5,
4698,5/10/2023 12:37:07,1696509427,-83,-94,132, ac,[Hidden SSID] ,B8-11-4B-82-62-AD,
5096,5/10/2023 12:37:07,1696509427,-90,-94,6, g/n,[Hidden SSID] ,08-CC-68-B4-7E-E4,
5256,5/10/2023 12:37:07,1696509427,-93,-94,132, ac,[Hidden SSID] ,08-CC-68-B4-84-9F,
5458,5/10/2023 12:37:07,1696509427,-56,-94,132, ac,eduroam ,08-CC-68-B5-9A-4E,
5661,5/10/2023 12:37:07,1696509427,-81,-94,132, ac,UNSW Guest ,B8-11-4B-82-62-AC,
5825,5/10/2023 12:37:07,1696509427,-78,-94,100, ac,[Hidden SSID] ,08-CC-68-B4-8C-FB,
6103,5/10/2023 12:37:07,1696509427,-63,-94,11, g/n,eduroam ,08-CC-68-B4-84-91,
6317,5/10/2023 12:37:07,1696509427,-60,-94,52, ac,eduroam ,08-CC-68-B4-77-AE,
6524,5/10/2023 12:37:07,1696509427,-70,-93,1, g/n,[Hidden SSID] ,08-CC-68-B5-88-A0,
6604,5/10/2023 12:37:07,1696509427,-82,-92,11, g/n,[Hidden SSID] ,24-16-9D-23-F0-C2,
7035,5/10/2023 12:37:07,1696509427,-78,-93,1, g/n,uniwide ,08-CC-68-B4-8C-F5,
7964,5/10/2023 12:37:07,1696509427,-63,-94,11, g/n,[Hidden SSID] ,08-CC-68-B4-84-90,
8330,5/10/2023 12:37:07,1696509427,-70,-93,1, g/n,eduroam ,08-CC-68-B5-88-A1,
8423,5/10/2023 12:37:07,1696509427,-82,-91,1, g/n,[Hidden SSID] ,08-CC-68-B4-86-54,
8856,5/10/2023 12:37:07,1696509427,-82,-92,11, g/n,UNSW Guest ,24-16-9D-23-F0-C3,
8943,5/10/2023 12:37:07,1696509427,-82,-95,157, ac,eduroam ,08-CC-68-B4-84-1E,
9164,5/10/2023 12:37:07,1696509427,-92,-94,112, ac,[Hidden SSID] ,08-CC-68-B5-88-AF,
10214,5/10/2023 12:37:07,1696509427,-87,-91,6, g/n,[Hidden SSID] ,08-CC-68-B4-7D-64,
10569,5/10/2023 12:37:07,1696509427,-50,-94,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-40,
11350,5/10/2023 12:37:07,1696509427,-82,-92,11, g/n,Global_Students ,24-16-9D-23-F0-C4,
11469,5/10/2023 12:37:07,1696509427,-81,-92,11, g/n,eduroam ,24-16-9D-23-F0-C0,
11689,5/10/2023 12:37:07,1696509427,-82,-92,11, g/n,uniwide ,24-16-9D-23-F0-C1,
11912,5/10/2023 12:37:07,1696509427,-60,-95,52, ac,[Hidden SSID] ,08-CC-68-B4-77-AF,
12372,5/10/2023 12:37:07,1696509427,-50,-94,11, g/n,eduroam ,08-CC-68-B5-9A-41,
12839,5/10/2023 12:37:07,1696509427,-87,-94,132, ac,eduroam ,08-CC-68-B4-84-9E,
13267,5/10/2023 12:37:07,1696509427,-83,-94,112, ac,uniwide ,08-CC-68-B4-86-5A,
13347,5/10/2023 12:37:07,1696509427,-91,-94,6, g/n,[Hidden SSID] ,4C-E1-76-F3-53-65,
13675,5/10/2023 12:37:07,1696509427,-77,-94,100, ac,uniwide ,08-CC-68-B4-8C-FA,
13731,5/10/2023 12:37:07,1696509427,-89,-93,1, g/n,eduroam ,24-16-9D-23-FD-20,
14342,5/10/2023 12:37:07,1696509427,-77,-91,1, g/n,eduroam ,08-CC-68-B4-8C-F1,
14583,5/10/2023 12:37:07,1696509427,-82,-93,1, g/n,eduroam ,08-CC-68-B4-86-51,
14652,5/10/2023 12:37:07,1696509427,-70,-93,1, g/n,[Hidden SSID] ,08-CC-68-B5-88-A4,
14763,5/10/2023 12:37:07,1696509427,-60,-94,52, ac,uniwide ,08-CC-68-B4-77-AA,
15177,5/10/2023 12:37:07,1696509427,-63,-94,11, g/n,uniwide ,08-CC-68-B4-84-95,
15334,5/10/2023 12:37:07,1696509427,-78,-94,100, ac,[Hidden SSID] ,08-CC-68-B4-8C-FF,
15662,5/10/2023 12:37:07,1696509427,-56,-94,132, ac,uniwide ,08-CC-68-B5-9A-4A,
15964,5/10/2023 12:37:07,1696509427,-88,-91,6, g/n,[Hidden SSID] ,4C-E1-76-F3-53-62,
16388,5/10/2023 12:37:07,1696509427,-83,-94,112, ac,[Hidden SSID] ,08-CC-68-B4-86-5F,
16677,5/10/2023 12:37:07,1696509427,-91,-94,6, g/n,eduroam ,08-CC-68-B4-7E-E1,
16885,5/10/2023 12:37:07,1696509427,-93,-94,112, ac,[Hidden SSID] ,08-CC-68-B5-88-AB,
17078,5/10/2023 12:37:07,1696509427,-81,-95,157, ac,uniwide ,08-CC-68-B4-84-1A,
17621,5/10/2023 12:37:07,1696509427,-70,-93,1, g/n,uniwide ,08-CC-68-B5-88-A5,
17698,5/10/2023 12:37:07,1696509427,-83,-91,1, g/n,[Hidden SSID] ,08-CC-68-B4-86-50,
17912,5/10/2023 12:37:07,1696509427,-81,-94,132, ac,Global_Students ,B8-11-4B-82-62-AB,
18133,5/10/2023 12:37:07,1696509427,-81,-94,132, ac,eduroam ,B8-11-4B-82-62-AF,
18391,5/10/2023 12:37:07,1696509427,-90,-94,6, g/n,UNSW Guest ,4C-E1-76-F3-53-63,
217,5/10/2023 12:37:21,1696509441,-88,-91,1, b/g/n,ASUS_66U ,A8-5E-45-9A-D9-90,
494,5/10/2023 12:37:21,1696509441,-80,-94,132, ac,uniwide ,B8-11-4B-82-62-AE,
1088,5/10/2023 12:37:21,1696509441,-50,-93,11, g/n,[Hidden SSID] ,08-CC-68-B5-9A-44,
